"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"EGF",6.7882464685878,4.09024476778796,6.47173251036685,2.40593919927202,6.63757660951303,2.83068617504977,3.16164617024836,1.6286014155971,3.04892754436819,4.35110258632731,6.34553519912753,4.2419266308087,4.07643016860817,3.50329161159486,3.42009031479134,2.42125024241629,8.1510258260796,3.83803952782696,9.01002203533085,3.27981854451402,6.20161207816059,6.07850291163737,6.12772944786362,1.16031013947502,4.80121974041215,7.17518893290294,4.04923391953501,3.88757644707381,4.35199709348786,4.76363071215384,3.91548993717639,5.35133946241168,3.22679117868046,5.02369148459158,6.64010061491015,6.87416033040591,3.50629289751176,4.19089907418888,3.05945679080658,3.24123286447485,2.68887216320775,9.3899181445547,8.65487352209454,3.74883727071085,6.58740310993353,9.1537105200311,4.29346053264283,5.49109409481821,3.55860572905075,3.56977077895992,3.67092678959557,8.91927769140068,4.75815844096946,6.33912062509511,6.64165133631024,6.75964156007968,5.69243732159704,4.47889911524752,8.47726080935673,5.2639075253469,7.10574572273412,7.96128159263104,2.7804868378035,8.69685640042847
"MAGEA12",3.62425822429688,2.60627123079867,2.83230764712377,2.85942163932744,3.16525712682173,1.61010086739569,1.64902671477236,2.34098646530709,3.00572294046071,4.06241214388812,3.20650280904011,3.54126511021605,3.79878809745102,3.18196122511338,2.86109390598662,2.33660833483263,2.25191636286939,2.21600913790228,2.44597691201158,2.8461931353494,3.10166994937139,2.44930084740858,2.52395839531626,2.6722695322797,4.74386781210214,3.70195015910685,4.07687439209809,3.49309325432081,3.3489881491991,2.57224224240485,2.24090374345388,2.91464786780757,3.228943439751,3.98380142291061,3.8512607847642,4.75338183679474,3.39573194359295,2.90910128443533,3.14110099453803,2.59822709470867,3.35441301281179,4.08587865255246,2.50037976919017,3.52975025458302,4.06619382746376,3.1383619469342,1.94233734733083,4.01087170838367,3.87398849986259,3.78736761209459,4.02771470436552,4.02500193581324,2.75901307192177,3.76420591174195,3.46906785521059,4.7324599221283,3.35046375862934,2.42851312425442,3.22073509939475,2.78946080670098,4.35279827208111,3.35420935376045,3.14522135350201,3.77709128811337
"IFNA1",5.09724607329043,3.74469597072053,2.85695554440684,2.75790738124793,3.22262850917664,2.41475437360501,1.55130329814175,2.51707650754827,3.06270194150003,3.71603982889037,3.86452740633858,3.5587484938819,4.0455913079935,2.79786012680504,2.89264503146987,2.31185872873407,2.10424580964133,1.84421794270568,2.09390755296299,1.48477742592412,3.12236476940211,2.37818911635251,2.59216223223826,0.959309894303244,15.1910124727846,3.5233232867188,4.08349124639608,3.86586854295126,3.01036652373012,2.57917648917265,2.4274209270946,3.19276660657316,3.07330291353957,2.95366814497622,4.13311693591664,2.9271382378633,3.26028759015774,2.91589679530136,2.34866166445223,3.21273348910618,2.27550631378374,3.6840011039406,4.50390480898959,5.05195363404065,3.4149068091443,3.38978406220024,1.90089228620663,4.60729516504697,4.23912639766526,4.69258151087563,4.82275951249798,3.26675555174952,2.79766779166974,4.61911014418477,3.95614438894739,3.99939245135991,3.4676217393607,4.22453260294753,2.78413772807328,4.3521458220101,4.40700841781195,3.47381608636794,4.90721496669259,4.46701007052437
"TGFB3",7.40542807251793,5.47222942678533,6.0426778405092,6.77301770498687,6.63319540208723,5.93562342264615,5.53171318787286,6.708701720887,5.37170899011852,4.11551494731647,6.77678334452411,6.01571357942728,4.93612704539692,4.43278295634803,5.70194101953911,5.15329200728409,7.0920863744434,5.47703118639636,5.00985792027677,5.98540683586176,4.35392477992287,4.66270359416091,5.4243080992766,3.1808288525323,6.12723419919695,5.13734921011915,3.74218108615507,4.817321478911,6.20134868463579,6.74247016969218,5.70456771178897,7.00326937091139,6.21658769947172,5.92840166247261,6.45342607733798,6.85253811271207,5.30278857415403,5.6509419955867,4.24945194198791,6.53731519848252,6.12641203086417,6.97024755415372,6.45609464270085,6.47101043880381,6.74612177860506,6.13216351362809,6.96663055880978,5.50795075332796,7.08542971303134,4.58806349641012,5.98038969356127,6.94110382983364,4.24438351954597,6.72002902645267,6.37551737647235,6.28351737683102,7.33812653224082,6.8952749046286,7.62626647899959,6.62281979283713,5.99769629433063,6.7554641214648,7.22612309411591,7.49088611756664
"MFGE8",7.49715129292834,6.37211731759943,7.39027075619985,7.20584727552068,10.5592840367746,7.08558166810873,7.8508709207872,6.18927218783911,8.44570246169844,9.59784863327108,11.2453700823984,8.6053174923654,6.1969828612827,7.91698874355319,8.75307237755104,9.30438446771507,9.47673170465044,11.0434751354764,7.91011989378543,9.04048878515959,8.38148306168795,9.62552408730452,9.47430298303333,7.37316590321069,15.8266049603512,8.27700809342868,7.14676775385744,8.6621619460556,9.17305110719987,9.33388825351366,10.6743357401066,10.3920382788711,9.43790585766236,10.3086009860748,6.77305236578796,9.9090382655588,8.70470268058871,10.3363944008099,8.40501716959908,13.5580962768562,10.4694061490932,10.515353176364,9.5507026119405,10.8637673096365,10.3498295050901,9.65540339927843,10.3433229800438,7.87589455822564,10.8806299798017,7.52275561567909,8.51614223916438,8.11698493112463,8.94771580584519,12.1674071088177,9.68258539665007,8.50129664420455,9.14040997631635,10.2404723115959,11.3221792104225,10.5242770532065,9.95828618598112,10.54605296233,10.8334226206762,8.68974604716196
"CXCL2",13.1860019788162,5.85336452802564,13.6101843439358,10.2831111265678,12.8080029993258,10.747381873838,12.1799837531436,10.5789491141426,13.5873762625026,12.5500982470972,15.2069760367433,14.951699556511,14.0856527210999,15.2025778261088,12.7893822685145,7.23311676057398,12.2319831956609,14.2727896955959,15.068719369716,13.8434684105577,13.1644252925714,14.0245056924244,13.6773532325063,12.8216485224343,15.9794312071951,13.0393437762711,12.7256137977681,15.0344624710643,14.9787252045117,13.8159455641456,14.419593469343,15.0660451685482,12.7311919344932,13.9076875513923,17.044764256828,13.9317226185201,13.2198373599988,15.2179187506246,14.2671405440901,15.0573070594714,12.4559849900541,14.7328123218591,13.8220368130908,13.5405643464101,11.0878588121837,11.8179570232475,8.1574229533735,12.4059394341073,15.1961863360796,13.2073387561862,14.2258537420969,8.50482023298979,9.72707427058997,8.81805564206332,10.672156547778,10.4881696629781,9.95501414192215,9.17064563363663,11.9604514367752,12.4403423407352,11.0977581636347,10.0919971349191,9.1621848492008,11.120442552384
"CCND2",13.2295549120239,12.2205386092488,11.1160613280008,7.36135184144761,12.9740781964027,5.07196057562931,11.786206830322,12.3072634947689,12.9716730173703,8.55804937687967,13.5380753259114,12.7324718753588,11.8570504015316,11.7632192304838,12.5931071709062,8.87994747200996,13.5600083304393,12.7885374729536,13.8246017381359,11.682096560784,13.5053853615501,12.9067788277512,13.13194722964,13.299549280249,9.3770877884262,12.2082713019166,12.0912609001122,11.049362220086,11.4502539840927,12.8499884972607,11.7129856432994,11.3720358415428,13.5192568178577,14.1969869521272,11.3663862323795,13.2280742832657,12.2068775501138,13.3607207548284,14.0440347730557,13.4380686660853,14.422174128942,12.8776684075609,12.4728572576166,13.1697681130885,11.4881839116024,14.0983375186257,11.9623420146905,12.9994844275103,13.2033745833369,13.4108218051719,9.71857449284841,13.7682390005799,11.9021378244203,13.1809733049392,11.7321663873199,13.0025726205278,10.5969031581511,12.8818694732659,11.8985055395385,10.7436064939272,10.9162841641724,11.3201578692823,8.14172515667001,14.1471751142449
"PDZK1IP1",6.66399828328047,6.44397469280455,8.59401767892643,3.32966250874413,8.16992359175871,9.51243388540945,8.62973867950521,13.4717251906086,5.99703170307547,4.39607447867981,8.86184832975089,7.04625461624871,3.7714851235977,7.55721514060407,5.13002835457101,8.03277071622298,10.6243003327038,9.57525629190093,7.24073700391186,5.2108032331023,3.3902846247324,9.00331158590172,5.07181268285211,4.6293664082019,5.52741314984313,9.97471124420433,5.26946277828378,8.83585773508791,5.04550537179065,8.00159050473082,4.55134646828106,6.16543894737145,10.3446962619783,8.05645751458511,9.09820464710969,4.52748303667926,6.21171165068941,7.27853458392623,3.91612106921955,6.11497833799565,3.44550049039449,4.66928020132763,6.41974795804248,5.98927340502783,10.3964788247517,9.83713016435045,7.34182357710231,3.73195353200319,5.10856330403062,4.32888915942628,6.00760409972339,8.27121032084241,3.92714396335722,4.79109052185496,5.58136783640714,8.14463290244682,3.84084343534042,5.49056688878622,2.4622448306803,7.18681877420979,10.5636119690783,6.46754620152582,7.60071147076866,8.62132933401089
"JAG2",4.38465746629242,3.97361548880383,3.13387553311453,2.55688116875153,3.10571759735908,1.77054386504758,1.47743726358532,2.34429054824937,2.97241183555139,4.07071489919102,3.20266834619789,3.51354972316476,4.04586769963557,2.7954389377397,2.88404869132057,2.29457489770361,1.81316833049198,1.75839240806664,2.06629729793537,1.84413308741259,3.11083381325194,2.43707965897345,2.52122025371571,1.15026651041927,5.11854618160374,3.53131389364055,3.97954274922911,3.57293554608947,3.39265146328196,2.5703944083494,3.26007388380263,3.05132640152902,3.05619589153976,2.56796803878414,3.93041914577542,2.88920879022622,3.26803670976385,3.30549388256229,2.36002856755429,2.59076181440562,2.99446858263467,3.73381343006207,2.40331002492341,3.13976484059633,3.51664888218227,3.23537072270742,2.41626907624329,4.01696572280271,3.52886009899378,3.95542118272312,3.96021366112658,3.27531574410017,3.61433396424368,3.37602783224133,3.47884521112133,3.68744557501892,4.83258077850981,2.29597381906993,3.22609982460594,3.19789568072321,4.56604576539528,3.83612190373694,4.53480029647964,3.98382355423525
"C5",8.52833550872457,8.81311985571884,5.09750884748607,8.89296120626505,7.92654662424653,6.39887257941356,9.56425522622048,6.53097920995781,7.27985699243383,6.79384434704717,7.7514027639754,7.68844408217057,5.08708546367473,6.15564888023197,6.56206156814761,7.94054509667664,7.84226161408676,7.21465113008449,7.39459909429568,8.95778525438832,5.55284158238367,4.01676513526975,7.63581271518679,8.38537655347409,8.35031805805389,6.25089070173231,7.65503837110043,4.272320092833,9.05341644974609,5.28098990528009,5.5238782631159,6.26730625422517,6.54369568904212,8.47495978446428,4.59233975454831,6.52967512488488,7.22176024513457,7.22501440369963,7.766983927497,9.21043245482397,7.63126633273288,8.75250501975489,8.93658927701571,8.50538252365028,8.78207650486074,7.63720204986384,9.0589458346742,8.5266649478528,8.46354725838655,8.93877719586244,6.50555387671528,9.1710306166107,8.17497007073542,9.4366642417646,9.56819873393841,8.87317170017835,9.12734403991386,9.43570313604386,9.34162551690641,8.88793116961781,8.31848534851686,8.99280565439851,5.89332307136147,8.20342013188099
